,Locus tag,Mean count,L v S log2 FC,Locus,Protein name
4740,PA4281,26.81521127,0.520313503,sbcD,exonuclease SbcD
4741,PA2829,36.16935474,0.521519566,-,hypothetical protein PA2829
4742,PA2866,36.16935474,0.521519566,mttC,secretion protein MttC
4743,PA0341,141.69300180000002,0.522059492,lgt,prolipoprotein diacylglyceryl transferase
4744,PA4006,45.52349821,0.52209826,nadD,nicotinic acid mononucleotide adenylyltransferase
4745,PA2399,109.978001,0.522929537,pvdD,pyoverdine synthetase D
4746,PA4420,140.2676085,0.524256434,-,S-adenosyl-methyltransferase MraW
4747,PA4972,274.8336438,0.524881403,-,hypothetical protein PA4972
4748,PA3558,16.03567451,0.525614058,arnF,4-amino-4-deoxy-L-arabinose-phosphoundecaprenol flippase subunit ArnF
4749,PA0625,80.08928549,0.525755995,-,hypothetical protein PA0625
4750,PA1788,521.5603136,0.525760399,-,hypothetical protein PA1788
4751,PA3422,146.77096540000002,0.525886306,-,hypothetical protein PA3422
4752,PA3030,138.84221519999997,0.526495589,mobA,molybdenum cofactor guanylyltransferase
4753,PA3430,48.77517665,0.527082046,-,aldolase
4754,PA3778,39.42103318,0.527642329,-,transcriptional regulator
4755,PA4055,39.42103318,0.527642329,ribC,riboflavin synthase subunit alpha
4756,PA2020,20.71274625,0.527862831,-,transcriptional regulator
4757,PA3773,34.74396145,0.527914285,-,hypothetical protein PA3773
4758,PA4456,34.74396145,0.527914285,-,ABC transporter ATP-binding protein
4759,PA4800,34.74396145,0.527914285,-,hypothetical protein PA4800
4760,PA0917,134.1651434,0.527961522,kup,potassium transport system protein kup
4761,PA4051,30.06688972,0.528209725,thiL,thiamine monophosphate kinase
4762,PA1175,9.933209491,0.52831956,napD,nitrate reductase biosynthesis protein NapD
4763,PA1269,9.933209491,0.52831956,-,transcriptional regulator
4764,PA4362,320.7580338,0.528820661,-,hypothetical protein PA4362
4765,PA0198,234.07630440000003,0.529203685,exbB1,transporter ExbB
4766,PA0200,3.207134903,0.530286253,-,hypothetical protein PA0200
4767,PA2074,3.207134903,0.530286253,-,hypothetical protein PA2074
4768,PA3990,3.207134903,0.530286253,-,hypothetical protein PA3990
4769,PA5330,139.243107,0.531828824,-,hypothetical protein PA5330
4770,PA3659,489.39987750000006,0.532611611,-,succinyldiaminopimelate transaminase
4771,PA4489,171.3589996,0.532749812,-,hypothetical protein PA4489
4772,PA0443,64.632677,0.532911495,-,transporter
4773,PA2529,64.632677,0.532911495,-,hypothetical protein PA2529
4774,PA0221,42.67271163,0.532967026,-,aminotransferase
4775,PA4519,42.67271163,0.532967026,speC,ornithine decarboxylase
4776,PA4646,42.67271163,0.532967026,upp,uracil phosphoribosyltransferase
4777,PA2078,145.7464639,0.53313808,-,hypothetical protein PA2078
4778,PA1551,37.99563989,0.533771265,-,ferredoxin
4779,PA3746,72.56142718,0.534299399,ffh,signal recognition particle protein Ffh
4780,PA3753,33.31856816,0.534755934,-,hypothetical protein PA3753
4781,PA4181,96.34767771,0.534811997,-,hypothetical protein PA4181
4782,PA1342,88.41892753,0.535101857,-,ABC transporter
4783,PA1264,208.55285580000003,0.535103588,-,transcriptional regulator
4784,PA0587,194.1207487,0.535562448,-,hypothetical protein PA0587
4785,PA0110,14.61028122,0.536330533,-,hypothetical protein PA0110
4786,PA1553,14.61028122,0.536330533,ccoO1,cbb3-type cytochrome C oxidase subunit II
4787,PA3298,14.61028122,0.536330533,-,hypothetical protein PA3298
4788,PA3587,14.61028122,0.536330533,metR,transcriptional regulator MetR
4789,PA2484,75.81310562,0.536595585,-,hypothetical protein PA2484
4790,PA1517,23.96442469,0.537003299,-,hypothetical protein PA1517
4791,PA1747,329.755829,0.537477269,-,hypothetical protein PA1747
4792,PA2499,41.60366666,0.537604088,-,deaminase
4793,PA1305,19.28735296,0.537661345,-,hypothetical protein PA1305
4794,PA0685,106.102713,0.538336864,-,type II secretion system protein
4795,PA2187,8.507816201,0.538370215,-,hypothetical protein PA2187
4796,PA3246,58.53021198,0.538611276,rluA,pseudouridine synthase
4797,PA1402,41.24731834,0.538857652,-,hypothetical protein PA1402
4798,PA5397,41.24731834,0.538857652,-,hypothetical protein PA5397
4799,PA1552.1,4.23163633,0.53963947,ccoQ1,cytochrome C oxidase cbb3-type subunit CcoQ
4800,PA5252,66.45896216,0.539874853,-,ABC transporter ATP-binding protein
4801,PA4951,619.5561022999999,0.540236003,orn,oligoribonuclease
4802,PA1613,93.49689113,0.541307092,-,hypothetical protein PA1613
4803,PA2403,119.1094268,0.541666834,-,hypothetical protein PA2403
4804,PA0565,154.47699780000002,0.541717699,-,hypothetical protein PA0565
4805,PA5184,85.56814095,0.542039426,-,chorismate mutase
4806,PA4955,96.74856957,0.542475058,-,hypothetical protein PA4955
4807,PA4958,111.18067659999998,0.543062272,fimW,cyclic-di-GMP receptor FimW
4808,PA0941,44.49899678,0.543282012,-,hypothetical protein PA0941
4809,PA5098,88.8198194,0.543442203,hutH,histidine ammonia-lyase
4810,PA0937,177.2387469,0.543821654,-,hypothetical protein PA0937
4811,PA3774,27.21610313,0.544155874,-,acetylpolyamine aminohydrolase
4812,PA4863,27.21610313,0.544155874,-,hypothetical protein PA4863
4813,PA0337,462.5401227,0.544313533,ptsP,phosphoenolpyruvate-protein phosphotransferase PtsP
4814,PA2568,39.19831548,0.546440461,-,hypothetical protein PA2568
4815,PA2921,7.082422911,0.546665414,-,transcriptional regulator
4816,PA0354,158.1295681,0.546716002,-,hypothetical protein PA0354
4817,PA1522,201.8267812,0.54707137,-,hypothetical protein PA1522
4818,PA4824,35.14485331,0.54724139,-,hypothetical protein PA4824
4819,PA4280,13.18488793,0.547942241,birA,biotin--protein ligase
4820,PA1136,249.22110809999998,0.547972815,-,transcriptional regulator
4821,PA0467,55.67942539999999,0.548221731,-,hypothetical protein PA0467
4822,PA3297,184.1429957,0.548259353,-,ATP-dependent helicase
4823,PA0109,17.86195967,0.548335846,-,hypothetical protein PA0109
4824,PA2779,17.86195967,0.548335846,-,hypothetical protein PA2779
4825,PA0600,71.53692575,0.548495867,-,two-component sensor
4826,PA0887,999.7352189,0.548805203,acsA,acetyl-CoA synthetase
4827,PA2438,5.65702962,0.549811204,-,hypothetical protein PA2438
4828,PA3203,5.65702962,0.549811204,-,hypothetical protein PA3203
4829,PA0903,114.8332469,0.550209492,alaS,alanine--tRNA ligase
4830,PA2803,66.85985402,0.550802991,-,hypothetical protein PA2803
4831,PA4402,100.4011399,0.550864305,argJ,bifunctional ornithine acetyltransferase/N-acetylglutamate synthase
4832,PA5036,778.6656283,0.551004978,gltB,glutamate synthase subunit alpha
4833,PA4635,158.53046,0.551331649,-,hypothetical protein PA4635
4834,PA1878,38.39653175,0.551701179,-,hypothetical protein PA1878
4835,PA1931,38.39653175,0.551701179,-,ferredoxin
4836,PA2815,178.04053069999998,0.552023981,-,acyl-CoA dehydrogenase
4837,PA4977,92.4723897,0.552651638,aruI,hypothetical protein PA4977
4838,PA2205,70.11153246,0.552724035,-,hypothetical protein PA2205
4839,PA2326,25.79070984,0.553081764,-,hypothetical protein PA2326
4840,PA5076,25.79070984,0.553081764,-,ABC transporter
4841,PA1220,33.71946002,0.554674219,-,hypothetical protein PA1220
4842,PA2888,65.43446073,0.555306528,atuC,geranyl-CoA carboxylase subunit beta
4843,PA3610,155.6796734,0.555846212,potD,polyamine ABC transporter substrate-binding protein PotD
4844,PA2784,21.11363811,0.556638801,-,hypothetical protein PA2784
4845,PA0149,29.04238829,0.558333488,-,ECF subfamily sigma-70 factor
4846,PA5141,29.04238829,0.558333488,hisA,1-(5-phosphoribosyl)-5
4847,PA0735,36.97113846,0.558726877,-,hypothetical protein PA0735
4848,PA1254,36.97113846,0.558726877,-,dihydrodipicolinate synthetase
4849,PA3771,36.97113846,0.558726877,-,transcriptional regulator
4850,PA3776,36.97113846,0.558726877,-,transcriptional regulator
4851,PA1675,349.9785963,0.559104684,-,hypothetical protein PA1675
4852,PA2322,211.3590988,0.55930905,-,gluconate permease
4853,PA5521,201.6040635,0.559625158,-,short-chain dehydrogenase
4854,PA1121,16.43656638,0.559963382,yfiR,hypothetical protein PA1121
4855,PA3283,16.43656638,0.559963382,-,hypothetical protein PA3283
4856,PA1340,64.00906744,0.559964734,-,amino acid ABC transporter permease
4857,PA3425,136.5704946,0.560525147,-,hypothetical protein PA3425
4858,PA3188,92.87328156,0.560549595,-,sugar ABC transporter permease
4859,PA0228,56.08031726,0.561011451,pcaF,beta-ketoadipyl CoA thiolase
4860,PA3895,96.12496001,0.561103622,-,transcriptional regulator
4861,PA0492,81.69285294,0.562149571,-,hypothetical protein PA0492
4862,PA4888,32.29406673,0.562627441,desB,acyl-CoA desaturase
4863,PA0431,24.36531655,0.562738892,-,hypothetical protein PA0431
4864,PA2310,24.36531655,0.562738892,-,hypothetical protein PA2310
4865,PA4370,208.5083122,0.56287515,icmP,insulin-cleaving metalloproteinase outer membrane protein
4866,PA0249,70.51242432,0.563050748,-,acetyltransferase
4867,PA3216,88.19620983,0.563659554,-,hypothetical protein PA3216
4868,PA1927,91.44788827,0.564227305,metE,5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase
4869,PA3816,51.40324553,0.564251405,cysE,O-acetylserine synthase
4870,PA0693,43.47449535,0.565262196,exbB2,transporter ExbB
4871,PA3710,130.4680296,0.565983981,-,GMC-type oxidoreductase
4872,PA1768,54.65492397,0.566387125,-,hypothetical protein PA1768
4873,PA5100,164.81109919999997,0.566994954,hutU,urocanate hydratase
4874,PA3026,46.72617379,0.56796378,-,hypothetical protein PA3026
4875,PA1218,57.90660241,0.568234985,-,hypothetical protein PA1218
4876,PA0873,106.2808872,0.569118203,phhR,transcriptional regulator PhhR
4877,PA5147,116.03592250000001,0.569161108,mutY,A/G-specific adenine glycosylase
4878,PA0868,663.2533152999999,0.569609959,-,peptidyl-tRNA hydrolase
4879,PA5253,271.89377010000004,0.569683189,algP,alginate regulatory protein AlgP
4880,PA4368,247.3057358,0.570896189,-,hypothetical protein PA4368
4881,PA0796,53.22953068,0.571997699,prpB,2-methylisocitrate lyase
4882,PA2685,67.66163774,0.572302783,-,hypothetical protein PA2685
4883,PA0883,15.01117309,0.572604901,-,acyl-CoA lyase subunit beta
4884,PA4825,224.5439867,0.573283715,mgtA,Mg(2+) transport ATPase
4885,PA1087,142.4502419,0.57331016,flgL,flagellar hook-associated protein FlgL
4886,PA2483,56.48120912,0.573639666,-,hypothetical protein PA2483
4887,PA0395,270.86926869999996,0.573769962,pilT,twitching motility protein PilT
4888,PA2125,424.6781134,0.57466319,-,aldehyde dehydrogenase
4889,PA5160,150.779884,0.574991041,-,drug efflux transporter
4890,PA0849,100.1784222,0.576116661,trxB2,thioredoxin reductase
4891,PA0059,93.67506529,0.576120117,osmC,osmotically inducible protein OsmC
4892,PA2325,37.37203033,0.576827262,-,hypothetical protein PA2325
4893,PA5112,173.9425249,0.576909043,estA,esterase
4894,PA0136,26.19160171,0.577200243,-,ABC transporter ATP-binding protein
4895,PA4470,188.7755239,0.577221171,fumC1,fumarate hydratase
4896,PA3564,111.75974270000002,0.578917014,-,hypothetical protein PA3564
4897,PA0596,40.62370877,0.579074574,-,hypothetical protein PA0596
4898,PA2934,75.99127978,0.579148601,cif,CFTR inhibitory factor
4899,PA1259,258.6643386,0.580839184,-,hypothetical protein PA1259
4900,PA5500,365.9251837,0.581946756,znuC,zinc transporter ZnuC
4901,PA1977,32.69495859,0.582780435,-,hypothetical protein PA1977
4902,PA2080,32.69495859,0.582780435,kynU,kynureninase KynU
4903,PA1186,68.06252961,0.582861841,-,hypothetical protein PA1186
4904,EBG00001435503,118.66399140000001,0.583222908,NaN,NaN
4905,PA1873,50.3787441,0.584006587,-,hypothetical protein PA1873
4906,PA5263,678.7990109,0.584366638,argH,argininosuccinate lyase
4907,PA2599,35.94663704,0.58482488,-,hypothetical protein PA2599
4908,PA0672,53.63042254,0.585152016,hemO,heme oxygenase
4909,PA1281,176.7933115,0.585766193,cobV,adenosylcobinamide-GDP ribazoletransferase
4910,PA3828,108.9089561,0.585802479,-,hypothetical protein PA3828
4911,PA5029,116.65953209999999,0.585883304,-,transcriptional regulator
4912,PA3832,56.88210099,0.58609417,holC,DNA polymerase III subunit chi
4913,PA3097,13.585779800000001,0.586334656,xcpX,type II secretion system protein K
4914,PA4653,123.741955,0.586592154,-,hypothetical protein PA4653
4915,PA0478,102.40559920000001,0.58667159,-,N-acetyltransferase
4916,PA3570,102.40559920000001,0.58667159,mmsA,methylmalonate-semialdehyde dehydrogenase
4917,PA3924,117.23859809999999,0.587706644,-,long-chain-fatty-acid--CoA ligase
4918,PA4889,66.63713632,0.587915569,-,oxidoreductase
4919,PA5479,158.4859165,0.58792917,gltP,glutamate/aspartate:proton symporter
4920,PA4354,42.44999392,0.588101004,-,hypothetical protein PA4354
4921,PA2556,69.88881476,0.588245639,-,transcriptional regulator
4922,PA3688,284.8559403,0.588414605,-,hypothetical protein PA3688
4923,PA5284,238.12976650000002,0.588487133,-,hypothetical protein PA5284
4924,PA3116,128.8199186,0.588545012,-,aspartate-semialdehyde dehydrogenase
4925,PA5182,296.83815269999997,0.589909175,-,hypothetical protein PA5182
4926,PA0845,600.0014881,0.590308901,-,neutral ceramidase
4927,PA1207,246.86030040000003,0.591344917,kefB,glutathione-regulated potassium-efflux system protein KefB
4928,PA2660,55.4567077,0.591977169,-,hypothetical protein PA2660
4929,PA1326,34.52124375,0.59336194,ilvA2,threonine dehydratase
4930,PA5020,163.96477190000002,0.593553563,-,acyl-CoA dehydrogenase
4931,PA0836.1,371.53766980000006,0.593793278,NaN,NaN
4932,PA1940,238.9315503,0.594368946,-,hypothetical protein PA1940
4933,PA0618,37.77292219,0.594571607,-,bacteriophage protein
4934,PA3672,137.55045249999998,0.594823233,-,ABC transporter ATP-binding protein
4935,PA1646,204.5884807,0.595249434,-,chemotaxis transducer
4936,PA2178,41.02460063,0.59560753,-,hypothetical protein PA2178
4937,PA3766,107.8844547,0.596011047,-,aromatic amino acid transporter
4938,PA1247,20.08913668,0.596961572,aprE,alkaline protease secretion protein AprE
4939,PA3725,54.03131441,0.598114601,recJ,single-stranded-DNA-specific exonuclease RecJ
4940,PA1874,874.9242188999999,0.598284149,-,hypothetical protein PA1874
4941,PA0799,63.78634974,0.598580848,-,helicase
4942,PA0617,23.34081513,0.599268879,-,bacteriophage protein
4943,PA3084,23.34081513,0.599268879,-,hypothetical protein PA3084
4944,PA1525,207.8401591,0.59937734,alkB2,alkane-1 monooxygenase
4945,PA3668,91.62606244,0.599690315,-,hypothetical protein PA3668
4946,PA3702,106.45906140000001,0.599736096,wspR,two-component response regulator
4947,PA2466,114.7887034,0.600748575,foxA,ferrioxamine receptor FoxA
4948,PA2984,12.16038651,0.601244803,-,hypothetical protein PA2984
4949,PA2025,293.5419307,0.601740242,gor,glutathione reductase
4950,PA0964,33.09585046,0.60249468,pmpR,transcriptional regulator PmpR
4951,PA2901,4.632528193,0.60279671,-,hypothetical protein PA2901
4952,PA0045,36.3475289,0.603060836,-,hypothetical protein PA0045
4953,PA3596,116.61498859999999,0.603344453,-,methylated-DNA--protein-cysteine methyltransferase
4954,PA2402,174.9224828,0.603658435,-,peptide synthase
4955,PA0391,113.3633101,0.60434237,-,hypothetical protein PA0391
4956,PA2001,49.35424267,0.604442863,atoB,acetyl-CoA acetyltransferase
4957,PA0511,55.85759956,0.604508855,nirJ,heme d1 biosynthesis protein NirJ
4958,PA0396,297.8181106,0.605280157,pilU,twitching motility protein PilU
4959,PA5501,253.9427234,0.605546955,znuB,zinc ABC transporter permease
4960,PA2416,186.9046952,0.606416169,treA,trehalase
4961,PA0649,200.3123008,0.606533144,trpG,anthranilate synthase component II
4962,PA1057,6.057921482999999,0.607425483,-,monovalent cation/H+ antiporter subunit E
4963,EBG00001435453,15.41206495,0.607569546,NaN,NaN
4964,PA0860,73.94227693,0.60777629,-,ABC transporter ATP-binding protein/permease
4965,PA2284,67.43892004,0.609006929,-,hypothetical protein PA2284
4966,PA4341,288.4639671,0.610035955,-,transcriptional regulator
4967,PA1627,18.66374339,0.61048218,-,transcriptional regulator
4968,PA3401,54.43220627,0.610897919,-,hypothetical protein PA3401
4969,PA3522,143.8310917,0.610953485,-,resistance-nodulation-cell division (RND) efflux transporter
4970,PA0223,51.18052783,0.611226947,-,dihydrodipicolinate synthetase
4971,PA0284,44.67717094,0.611707249,-,hypothetical protein PA0284
4972,PA0366,44.67717094,0.611707249,-,coniferyl aldehyde dehydrogenase
4973,PA0621,44.67717094,0.611707249,-,hypothetical protein PA0621
4974,PA1677,21.91542184,0.611740889,-,hypothetical protein PA1677
4975,PA5569,21.91542184,0.611740889,rnpA,ribonuclease P
4976,PA1915,38.17381405,0.611982309,-,hypothetical protein PA1915
4977,PA1489,25.16710028,0.612197651,-,hypothetical protein PA1489
4978,PA2540,25.16710028,0.612197651,-,hypothetical protein PA2540
4979,PA3589,31.67045717,0.612269114,-,acetyl-CoA acetyltransferase
4980,PA4028,31.67045717,0.612269114,NaN,NaN
4981,PA4021,138.664041,0.612516049,-,transcriptional regulator
4982,PA4303,123.92012920000002,0.612849228,tadZ,hypothetical protein PA4303
4983,PA3450,72.51688364,0.612967743,-,antioxidant protein
4984,PA3403,62.76184831,0.615383294,-,hypothetical protein PA3403
4985,PA5476,194.61072769999998,0.615478931,citA,citrate transporter
4986,PA3679,792.8304741000001,0.616730864,-,hypothetical protein PA3679
4987,PA5352,10.73499322,0.617221254,-,hypothetical protein PA5352
4988,PA2652,129.39898459999998,0.619195572,-,methyl-accepting chemotaxis protein
4989,PA0934,43.25177765,0.619557575,relA,GTP pyrophosphokinase
4990,PA2561,79.42113239,0.620131128,-,methyl-accepting chemotaxis protein CtpH
4991,PA0858,105.07821159999999,0.62036579,-,hypothetical protein PA0858
4992,PA0127,64.58813346,0.620406523,-,hypothetical protein PA0127
4993,PA5083,307.52860239999995,0.621498543,-,hypothetical protein PA5083
4994,PA3922,122.8956277,0.622069268,-,hypothetical protein PA3922
4995,PA0230,58.08477658,0.622478445,pcaB,"3-carboxy-cis,cis-muconate cycloisomerase"
4996,PA0076,30.24506388,0.622750509,-,hypothetical protein PA0076
4997,PA2321,30.24506388,0.622750509,-,gluconokinase
4998,PA4057,13.98667166,0.623280204,nrdR,transcriptional regulator NrdR
4999,PA4593,13.98667166,0.623280204,-,ABC transporter permease
5000,PA4867,13.98667166,0.623280204,ureB,urease subunit beta
5001,PA0301,51.58141969,0.624542558,spuE,spermidine ABC transporter substrate-binding protein SpuE
5002,PA2261,51.58141969,0.624542558,-,2-ketogluconate kinase
5003,PA5093,77.9957391,0.625257062,-,histidine/phenylalanine ammonia-lyase
5004,PA4478,20.49002855,0.6253211,-,hypothetical protein PA4478
5005,PA1237,108.0626288,0.626059171,-,multidrug resistance efflux pump
5006,PA5358,99.73298677,0.626813408,ubiA,4-hydroxybenzoate octaprenyltransferase
